denom, 10 , 0.03900551795959473 , 0.030067920684814453 , 0.0319819450378418 , average: 0.03368512789408366
denom, 110 , 0.3609790802001953 , 0.37102365493774414 , 0.585033655166626 , average: 0.4390121301015218
denom, 210 , 0.9261038303375244 , 0.6000335216522217 , 0.6540837287902832 , average: 0.7267403602600098
denom, 310 , 0.9780066013336182 , 0.9591217041015625 , 1.0059893131256104 , average: 0.9810392061869303
denom, 410 , 1.5530872344970703 , 1.5780937671661377 , 1.3222780227661133 , average: 1.4844863414764404
denom, 510 , 1.6201035976409912 , 1.5440845489501953 , 1.5580389499664307 , average: 1.574075698852539
denom, 610 , 1.9491467475891113 , 1.8121051788330078 , 2.1680777072906494 , average: 1.9764432112375896
denom, 710 , 2.6011440753936768 , 2.346203565597534 , 2.287065267562866 , average: 2.411470969518026
denom, 810 , 2.540099620819092 , 2.473188638687134 , 2.4961495399475098 , average: 2.503145933151245
denom, 910 , 2.8061599731445312 , 3.06046462059021 , 2.900679588317871 , average: 2.9224347273508706
