0 , 0.0 , 0.0 , 0.0 , average: 0.0
1000 , 0.007000446319580078 , 0.00700068473815918 , 0.0060002803802490234 , average: 0.006667137145996094
2000 , 0.014000415802001953 , 0.014000654220581055 , 0.01500082015991211 , average: 0.014333963394165039
3000 , 0.02300095558166504 , 0.02300119400024414 , 0.02300119400024414 , average: 0.02300111452738444
4000 , 0.03300213813781738 , 0.031001806259155273 , 0.031001806259155273 , average: 0.03166858355204264
5000 , 0.04000234603881836 , 0.039002180099487305 , 0.039002418518066406 , average: 0.03933564821879069
6000 , 0.04800248146057129 , 0.049002885818481445 , 0.049002647399902344 , average: 0.04866933822631836
7000 , 0.05700325965881348 , 0.05800318717956543 , 0.05800318717956543 , average: 0.057669878005981445
8000 , 0.07100391387939453 , 0.06600379943847656 , 0.06700396537780762 , average: 0.06800389289855957
9000 , 0.07800459861755371 , 0.0760045051574707 , 0.07700419425964355 , average: 0.07700443267822266
10000 , 0.08500480651855469 , 0.08500480651855469 , 0.08800530433654785 , average: 0.08600497245788574
